airport,country
CCF,FR
NAS,BS
URC,CN
BSO,PH
OKA,JP
CCM,BR
KKJ,JP
RBQ,BO
MES,ID
HME,DZ
JGA,IN
AGH,SE
YBX,CA
CFS,AU
TLS,FR
KUF,RU
DAT,CN
LCA,CY
FOC,CN
LBU,MY
CNF,BR
EVE,NO
LCG,ES
IFJ,IS
KFS,TR
MID,MX
FUG,CN
GYN,BR
SZZ,PL
YYR,CA
CAQ,CO
YRG,CA
MCP,BR
OER,SE
TSA,TW
PUY,HR
TSE,KZ
SJU,PR
CBR,AU
VRA,CU
ASB,TM
OOM,AU
CGQ,CN
MKY,AU
JTR,GR
ESL,RU
MDE,CO
MAN,GB
AQI,SA
MHC,CL
SLZ,BR
ILO,PH
PXU,VN
YYH,CA
TRV,IN
ULN,MN
JIM,ET
CEK,RU
FUK,JP
JUB,SS
MAQ,TH
OUA,BF
FUE,ES
YUL,CA
UFA,RU
BZL,BD
KIN,JM
HLP,ID
PER,AU
YXJ,CA
BHE,NZ
BOD,FR
ULH,SA
MUC,DE
NOZ,RU
KBR,MY
YRT,CA
JNN,GL
ECN,CY
YBB,CA
BIO,ES
LPA,ES
CZS,BR
LKN,NO
CWL,GB
LPF,CN
VLI,VU
GRZ,AT
CDP,IN
PKY,ID
OTP,RO
SRI,ID
VII,VN
OVB,RU
CNX,TH
DQA,CN
CNS,AU
MAS,PG
TLU,CO
IBE,CO
EBU,FR
AKU,CN
DAX,CN
NGB,CN
SOC,ID
PUS,KR
HAU,NO
OCC,EC
PLS,TC
OGU,TR
OVD,ES
IJK,RU
UIP,FR
REU,ES
CPT,ZA
SNU,CU
HKD,JP
SIP,UA
KXK,RU
KKE,NZ
GUW,KZ
PMC,CL
YHD,CA
NYO,SE
CGB,BR
YCU,CN
KKC,TH
CUN,MX
IAM,DZ
UNG,PG
PKZ,LA
YIH,CN
OLB,IT
YTM,CA
BSB,BR
YVO,CA
DAU,PG
COR,AR
HUX,MX
DIQ,BR
KSC,SK
IZA,BR
GIS,NZ
ORN,DZ
LRR,IR
LYG,CN
DUS,DE
RJA,IN
DWC,AE
ROK,AU
CGK,ID
CNQ,AR
SJO,CR
YAB,CA
HGH,CN
KLR,SE
BCD,PH
BHI,AR
DVO,PH
PTP,GP
APO,CO
SRE,BO
REC,BR
INN,AT
IXZ,IN
YNB,SA
ACD,CO
MYY,MY
BTH,ID
BHJ,IN
TLC,MX
PIS,FR
SFG,GP
MSQ,BY
FLR,IT
REG,IT
SOU,GB
LWO,UA
JSR,BD
UYU,BO
SOG,NO
IXM,IN
DHM,IN
DPS,ID
MAR,VE
TSN,CN
KBV,TH
GAY,IN
AEY,IS
PLZ,ZA
JIJ,ET
MXL,MX
ELS,ZA
TSR,RO
YDF,CA
TSF,IT
CDT,ES
ZCO,CL
BTS,SK
WRO,PL
DMU,IN
LGI,BS
TIA,AL
SVJ,NO
TIR,IN
BBI,IN
KRF,SE
AOE,TR
SLU,LC
GDL,MX
FBM,CD
YXC,CA
DBV,HR
JHG,CN
LTX,EC
SOQ,ID
KTT,FI
RYG,NO
TUN,TN
CAY,GF
PEG,IT
YQR,CA
PVG,CN
HIR,SB
LKO,IN
LOS,NG
LRM,DO
PBC,MX
KSY,TR
AOR,MY
TCB,BS
DIY,TR
KRT,SD
YBR,CA
VVC,CO
KOE,ID
NTE,FR
TJA,BO
DYG,CN
TZX,TR
EJH,SA
FEZ,MA
BTU,MY
TXL,DE
NTL,AU
BUD,HU
PET,BR
TCQ,PE
LWY,MY
RSU,KR
BVA,FR
YXL,CA
VST,SE
NWI,GB
ORY,FR
WXN,CN
CJC,CL
BSD,CN
VGA,IN
SRG,ID
LXR,EG
ROI,TH
EZE,AR
MGH,ZA
ETR,EC
NDG,CN
DIB,IN
FKB,DE
PVH,BR
BVE,FR
NNX,ID
DWO,LK
YUY,CA
MZT,MX
NOS,MG
PKN,ID
CXR,VN
RTM,NL
AUR,FR
SGO,AU
NBO,KE
ZLO,MX
NBS,CN
SCV,RO
OBO,JP
KGP,RU
KVK,RU
STI,DO
IKT,RU
TZA,BZ
KGF,KZ
LFW,TG
KHG,CN
TGU,HN
YTS,CA
CPC,AR
AJF,SA
ZIH,MX
IPH,MY
NAG,IN
JKH,GR
SKG,GR
KUS,GL
RAK,MA
BHY,CN
NDR,MA
LYC,SE
PQC,VN
KIJ,JP
JOG,ID
BEB,GB
TMS,ST
SXK,ID
PTY,PA
SBZ,RO
EBB,UG
KRL,CN
CUK,BZ
DMK,TH
MME,GB
PNH,KH
TNA,CN
UDR,IN
SIN,SG
POI,BO
GDT,TC
TGG,MY
SVD,VC
GVR,BR
VOG,RU
SNO,TH
AAR,DK
FSC,FR
ANR,BE
TYL,PE
LJG,CN
YXE,CA
HUY,GB
HFA,IL
XCR,FR
BRR,GB
ALF,NO
HGU,PG
ERC,TR
MLG,ID
GMP,KR
IRA,SB
MBA,KE
KTW,PL
MIM,AU
CUU,MX
SBW,MY
MLM,MX
YQD,CA
GND,GD
MDL,MM
GZT,TR
BDO,ID
VOZ,RU
LPL,GB
SCN,DE
LIG,FR
AUA,AW
ASU,PY
KCZ,JP
IGD,TR
YHZ,CA
SZG,AT
DNR,FR
RKT,AE
TNJ,ID
LSW,ID
INC,CN
KWE,CN
SDQ,DO
GOV,AU
IXL,IN
UTP,TH
DLC,CN
EDO,TR
STN,GB
YWG,CA
SHA,CN
LAE,PG
YWK,CA
CKG,CN
YYB,CA
GRV,RU
QRO,MX
KZO,KZ
YHY,CA
ABT,SA
BIA,FR
BYO,BR
MDG,CN
LPT,TH
SCO,KZ
MAJ,MH
PMW,BR
ANS,PE
KWL,CN
PAZ,MX
MHD,IR
LST,AU
LAP,MX
LPB,BO
FPO,BS
BFN,ZA
LAD,AO
ADZ,CO
JIB,DJ
GUA,GT
PNZ,BR
AVV,AU
TRE,GB
UKX,RU
KCT,LK
ZTH,GR
GIB,GI
CTS,JP
VVO,RU
ZNZ,TZ
ZAZ,ES
CBB,BO
SKZ,PK
BKI,MY
TCR,IN
HIJ,JP
GIG,BR
XAP,BR
IMF,IN
VFA,ZW
KRB,AU
IFN,IR
VDH,VN
KSD,SE
YQM,CA
YPR,CA
VVI,BO
LIM,PE
ATQ,IN
UUS,RU
AMM,JO
ACA,MX
YYF,CA
TPE,TW
FYJ,CN
BNI,NG
ESB,TR
BKZ,TZ
NAO,CN
PUU,CO
HAQ,MV
KDU,PK
JCK,AU
PKU,ID
MEQ,ID
GMB,ET
JGS,CN
